year,sex,hindfoot_length,weight,genus,species,taxa,plot_type,weight_oz
1997,M,21.0,26.0,Onychomys,torridus,Rodent,Control,0.9171075837742504
1991,M,16.0,10.0,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure,0.3527336860670194
1984,F,36.0,59.0,Dipodomys,ordii,Rodent,Short-term Krat Exclosure,2.0811287477954146
1992,F,20.0,22.0,Onychomys,torridus,Rodent,Control,0.7760141093474426
1999,not reported,,,Ammospermophilus,harrisi,Rodent,Control,
1989,M,17.0,10.0,Reithrodontomys,megalotis,Rodent,Control,0.3527336860670194
1984,M,35.0,41.0,Dipodomys,merriami,Rodent,Control,1.4462081128747795
1996,F,26.0,32.0,Chaetodipus,baileyi,Rodent,Spectab exclosure,1.128747795414462
1989,M,21.0,22.0,Peromyscus,eremicus,Rodent,Short-term Krat Exclosure,0.7760141093474426
1991,F,22.0,24.0,Onychomys,torridus,Rodent,Control,0.8465608465608465
1997,F,33.0,33.0,Dipodomys,merriami,Rodent,Control,1.164021164021164
1992,M,36.0,45.0,Dipodomys,merriami,Rodent,Control,1.5873015873015872
1999,F,22.0,12.0,Chaetodipus,penicillatus,Rodent,Control,0.42328042328042326
2000,F,25.0,22.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure,0.7760141093474426
1991,F,20.0,24.0,Peromyscus,eremicus,Rodent,Rodent Exclosure,0.8465608465608465
2002,F,25.0,26.0,Chaetodipus,baileyi,Rodent,Control,0.9171075837742504
1999,M,36.0,50.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.763668430335097
1984,F,22.0,15.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure,0.5291005291005291
1993,F,37.0,46.0,Dipodomys,merriami,Rodent,Control,1.6225749559082892
2002,F,23.0,23.0,Chaetodipus,penicillatus,Rodent,Rodent Exclosure,0.8112874779541446
1981,F,,122.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure,4.303350970017637
1988,F,20.0,22.0,Peromyscus,eremicus,Rodent,Control,0.7760141093474426
1986,M,49.0,125.0,Dipodomys,spectabilis,Rodent,Control,4.409171075837742
2002,M,25.0,50.0,Sigmodon,fulviventer,Rodent,Control,1.763668430335097
1989,M,20.0,27.0,Peromyscus,eremicus,Rodent,Long-term Krat Exclosure,0.9523809523809523
1986,M,32.0,50.0,Dipodomys,ordii,Rodent,Control,1.763668430335097
1987,M,21.0,26.0,Peromyscus,maniculatus,Rodent,Long-term Krat Exclosure,0.9171075837742504
1987,M,17.0,13.0,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure,0.4585537918871252
2002,not reported,,,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure,
2000,M,25.0,31.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure,1.09347442680776
1997,M,22.0,21.0,Chaetodipus,penicillatus,Rodent,Control,0.7407407407407407
1991,F,17.0,11.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure,0.3880070546737213
1991,M,22.0,24.0,Peromyscus,eremicus,Rodent,Rodent Exclosure,0.8465608465608465
1988,M,22.0,30.0,Onychomys,torridus,Rodent,Control,1.0582010582010581
1988,M,37.0,49.0,Dipodomys,merriami,Rodent,Control,1.728395061728395
2001,M,37.0,46.0,Dipodomys,merriami,Rodent,Control,1.6225749559082892
1982,F,21.0,33.0,Onychomys,leucogaster,Rodent,Short-term Krat Exclosure,1.164021164021164
1977,F,37.0,42.0,Dipodomys,merriami,Rodent,Control,1.4814814814814814
1995,M,38.0,54.0,Dipodomys,merriami,Rodent,Control,1.9047619047619047
1977,F,38.0,40.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1.4109347442680775
1983,F,31.0,139.0,Neotoma,albigula,Rodent,Long-term Krat Exclosure,4.90299823633157
1982,M,36.0,47.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.657848324514991
1996,M,36.0,41.0,Dipodomys,merriami,Rodent,Control,1.4462081128747795
1990,M,37.0,49.0,Dipodomys,merriami,Rodent,Control,1.728395061728395
1991,M,36.0,50.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.763668430335097
1985,M,36.0,40.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.4109347442680775
2000,M,27.0,20.0,Chaetodipus,baileyi,Rodent,Rodent Exclosure,0.7054673721340388
2001,M,26.0,34.0,Chaetodipus,baileyi,Rodent,Rodent Exclosure,1.199294532627866
1989,M,33.0,46.0,Dipodomys,merriami,Rodent,Control,1.6225749559082892
1983,F,51.0,127.0,Dipodomys,spectabilis,Rodent,Control,4.479717813051146
1982,F,,17.0,Chaetodipus,penicillatus,Rodent,Rodent Exclosure,0.599647266313933
1983,F,34.0,25.0,Dipodomys,merriami,Rodent,Rodent Exclosure,0.8818342151675485
1979,M,35.0,49.0,Dipodomys,merriami,Rodent,Control,1.728395061728395
1994,F,36.0,42.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.4814814814814814
1977,M,35.0,,Dipodomys,merriami,Rodent,Long-term Krat Exclosure,
1982,M,33.0,114.0,Neotoma,albigula,Rodent,Long-term Krat Exclosure,4.021164021164021
1993,F,37.0,40.0,Dipodomys,merriami,Rodent,Rodent Exclosure,1.4109347442680775
1997,M,34.0,47.0,Dipodomys,merriami,Rodent,Rodent Exclosure,1.657848324514991
1982,F,36.0,46.0,Dipodomys,ordii,Rodent,Short-term Krat Exclosure,1.6225749559082892
2000,F,26.0,43.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure,1.5167548500881833
1983,F,15.0,11.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure,0.3880070546737213
1998,F,36.0,47.0,Dipodomys,merriami,Rodent,Control,1.657848324514991
1995,M,36.0,26.0,Dipodomys,ordii,Rodent,Control,0.9171075837742504
1984,F,37.0,52.0,Dipodomys,merriami,Rodent,Control,1.8342151675485008
1998,F,25.0,34.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure,1.199294532627866
1987,F,37.0,35.0,Dipodomys,merriami,Rodent,Control,1.2345679012345678
1984,M,21.0,28.0,Onychomys,torridus,Rodent,Long-term Krat Exclosure,0.9876543209876543
1999,F,26.0,18.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure,0.6349206349206349
1986,M,37.0,46.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1.6225749559082892
1998,F,36.0,46.0,Dipodomys,merriami,Rodent,Control,1.6225749559082892
1983,M,37.0,46.0,Dipodomys,merriami,Rodent,Control,1.6225749559082892
1989,F,16.0,8.0,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure,0.2821869488536155
1997,F,21.0,23.0,Onychomys,torridus,Rodent,Control,0.8112874779541446
1989,M,22.0,24.0,Peromyscus,eremicus,Rodent,Short-term Krat Exclosure,0.8465608465608465
1983,F,51.0,110.0,Dipodomys,spectabilis,Rodent,Spectab exclosure,3.880070546737213
1982,F,34.0,46.0,Dipodomys,ordii,Rodent,Spectab exclosure,1.6225749559082892
1983,M,15.0,8.0,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure,0.2821869488536155
2002,M,23.0,12.0,Chaetodipus,penicillatus,Rodent,Control,0.42328042328042326
1997,F,20.0,26.0,Onychomys,torridus,Rodent,Control,0.9171075837742504
1993,F,22.0,13.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure,0.4585537918871252
1978,M,36.0,49.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1.728395061728395
1990,F,37.0,47.0,Dipodomys,merriami,Rodent,Control,1.657848324514991
1988,M,21.0,22.0,Peromyscus,eremicus,Rodent,Control,0.7760141093474426
1990,M,36.0,56.0,Dipodomys,ordii,Rodent,Spectab exclosure,1.9753086419753085
1983,F,52.0,123.0,Dipodomys,spectabilis,Rodent,Control,4.338624338624339
1984,F,19.0,16.0,Onychomys,torridus,Rodent,Control,0.564373897707231
2001,M,20.0,16.0,Chaetodipus,penicillatus,Rodent,Control,0.564373897707231
1981,F,49.0,117.0,Dipodomys,spectabilis,Rodent,Control,4.1269841269841265
2002,F,20.0,23.0,Onychomys,torridus,Rodent,Rodent Exclosure,0.8112874779541446
1987,F,22.0,25.0,Peromyscus,eremicus,Rodent,Rodent Exclosure,0.8818342151675485
1985,M,52.0,152.0,Dipodomys,spectabilis,Rodent,Spectab exclosure,5.361552028218695
2000,F,34.0,28.0,Dipodomys,merriami,Rodent,Control,0.9876543209876543
2000,M,36.0,43.0,Dipodomys,merriami,Rodent,Control,1.5167548500881833
1997,M,37.0,47.0,Dipodomys,merriami,Rodent,Control,1.657848324514991
2001,M,21.0,19.0,Onychomys,torridus,Rodent,Spectab exclosure,0.6701940035273368
1988,F,21.0,26.0,Peromyscus,eremicus,Rodent,Short-term Krat Exclosure,0.9171075837742504
1982,F,36.0,41.0,Dipodomys,merriami,Rodent,Control,1.4462081128747795
1994,F,20.0,20.0,Onychomys,torridus,Rodent,Spectab exclosure,0.7054673721340388
1988,M,23.0,20.0,Chaetodipus,penicillatus,Rodent,Control,0.7054673721340388
2002,M,21.0,15.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure,0.5291005291005291
1997,M,16.0,10.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure,0.3527336860670194
1978,F,37.0,47.0,Dipodomys,merriami,Rodent,Control,1.657848324514991
1983,M,21.0,20.0,Peromyscus,eremicus,Rodent,Rodent Exclosure,0.7054673721340388
2000,M,26.0,34.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure,1.199294532627866
1987,M,22.0,29.0,Onychomys,leucogaster,Rodent,Control,1.0229276895943562
1998,M,20.0,24.0,Onychomys,torridus,Rodent,Control,0.8465608465608465
1994,M,20.0,26.0,Onychomys,torridus,Rodent,Short-term Krat Exclosure,0.9171075837742504
1995,M,35.0,44.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.5520282186948853
2002,F,37.0,43.0,Dipodomys,merriami,Rodent,Control,1.5167548500881833
2001,F,27.0,26.0,Chaetodipus,baileyi,Rodent,Control,0.9171075837742504
2002,F,27.0,33.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure,1.164021164021164
1997,M,21.0,24.0,Onychomys,torridus,Rodent,Spectab exclosure,0.8465608465608465
1983,F,49.0,,Dipodomys,spectabilis,Rodent,Control,
1989,M,36.0,47.0,Dipodomys,merriami,Rodent,Control,1.657848324514991
1999,F,35.0,41.0,Dipodomys,merriami,Rodent,Control,1.4462081128747795
1996,F,23.0,20.0,Chaetodipus,penicillatus,Rodent,Control,0.7054673721340388
1989,M,22.0,21.0,Peromyscus,eremicus,Rodent,Short-term Krat Exclosure,0.7407407407407407
1991,not reported,,,Amphispiza,bilineata,Bird,Short-term Krat Exclosure,
2000,M,35.0,44.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.5520282186948853
1998,M,37.0,55.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.9400352733686066
2001,M,36.0,37.0,Dipodomys,merriami,Rodent,Control,1.3051146384479717
1980,F,36.0,46.0,Dipodomys,merriami,Rodent,Rodent Exclosure,1.6225749559082892
1980,F,,65.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure,2.292768959435626
1990,F,17.0,13.0,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure,0.4585537918871252
1983,F,50.0,108.0,Dipodomys,spectabilis,Rodent,Spectab exclosure,3.8095238095238093
1997,M,21.0,22.0,Peromyscus,maniculatus,Rodent,Short-term Krat Exclosure,0.7760141093474426
1981,M,,129.0,Dipodomys,spectabilis,Rodent,Control,4.55026455026455
1984,M,36.0,39.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1.3756613756613756
1997,M,36.0,39.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.3756613756613756
1983,M,36.0,42.0,Dipodomys,merriami,Rodent,Rodent Exclosure,1.4814814814814814
1989,M,16.0,9.0,Reithrodontomys,megalotis,Rodent,Control,0.31746031746031744
1987,F,35.0,,Neotoma,albigula,Rodent,Rodent Exclosure,
1996,F,19.0,12.0,Peromyscus,maniculatus,Rodent,Rodent Exclosure,0.42328042328042326
1988,M,34.0,42.0,Dipodomys,merriami,Rodent,Control,1.4814814814814814
1982,not reported,,129.0,Dipodomys,spectabilis,Rodent,Control,4.55026455026455
1981,F,21.0,19.0,Peromyscus,eremicus,Rodent,Control,0.6701940035273368
1981,F,21.0,11.0,Onychomys,torridus,Rodent,Control,0.3880070546737213
1981,F,48.0,97.0,Dipodomys,spectabilis,Rodent,Control,3.421516754850088
1985,F,54.0,120.0,Dipodomys,spectabilis,Rodent,Spectab exclosure,4.232804232804233
1994,not reported,,,Dipodomys,sp.,Rodent,Spectab exclosure,
1989,F,17.0,14.0,Reithrodontomys,fulvescens,Rodent,Rodent Exclosure,0.49382716049382713
1983,M,36.0,45.0,Dipodomys,merriami,Rodent,Control,1.5873015873015872
1982,M,,45.0,Dipodomys,merriami,Rodent,Control,1.5873015873015872
1986,M,20.0,21.0,Peromyscus,maniculatus,Rodent,Long-term Krat Exclosure,0.7407407407407407
1987,M,51.0,138.0,Dipodomys,spectabilis,Rodent,Control,4.867724867724868
1982,M,16.0,6.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure,0.21164021164021163
2002,F,19.0,23.0,Peromyscus,eremicus,Rodent,Control,0.8112874779541446
2002,F,30.0,168.0,Neotoma,albigula,Rodent,Long-term Krat Exclosure,5.925925925925926
1988,F,,39.0,Sigmodon,hispidus,Rodent,Long-term Krat Exclosure,1.3756613756613756
1984,F,37.0,40.0,Dipodomys,merriami,Rodent,Control,1.4109347442680775
2002,M,22.0,20.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure,0.7054673721340388
1978,F,49.0,118.0,Dipodomys,spectabilis,Rodent,Control,4.162257495590829
1992,F,20.0,25.0,Onychomys,leucogaster,Rodent,Control,0.8818342151675485
1997,M,37.0,49.0,Dipodomys,merriami,Rodent,Control,1.728395061728395
1996,F,17.0,7.0,Perognathus,flavus,Rodent,Control,0.24691358024691357
1982,not reported,,,Amphispiza,bilineata,Bird,Short-term Krat Exclosure,
1998,F,36.0,42.0,Dipodomys,merriami,Rodent,Control,1.4814814814814814
1981,M,37.0,50.0,Dipodomys,merriami,Rodent,Rodent Exclosure,1.763668430335097
2002,M,36.0,55.0,Dipodomys,merriami,Rodent,Control,1.9400352733686066
1996,F,24.0,17.0,Chaetodipus,penicillatus,Rodent,Control,0.599647266313933
1981,F,51.0,154.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure,5.432098765432099
1995,F,17.0,12.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure,0.42328042328042326
1995,M,36.0,54.0,Dipodomys,ordii,Rodent,Spectab exclosure,1.9047619047619047
1988,M,36.0,58.0,Dipodomys,ordii,Rodent,Control,2.0458553791887124
1996,M,23.0,20.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure,0.7054673721340388
1992,F,22.0,22.0,Peromyscus,eremicus,Rodent,Rodent Exclosure,0.7760141093474426
2000,F,26.0,26.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure,0.9171075837742504
2000,M,21.0,14.0,Chaetodipus,penicillatus,Rodent,Control,0.49382716049382713
1998,M,37.0,43.0,Dipodomys,merriami,Rodent,Control,1.5167548500881833
1997,M,37.0,54.0,Dipodomys,merriami,Rodent,Control,1.9047619047619047
1981,M,37.0,44.0,Dipodomys,merriami,Rodent,Rodent Exclosure,1.5520282186948853
1998,M,36.0,56.0,Dipodomys,ordii,Rodent,Spectab exclosure,1.9753086419753085
1983,M,51.0,125.0,Dipodomys,spectabilis,Rodent,Control,4.409171075837742
1997,F,27.0,47.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure,1.657848324514991
1989,M,17.0,10.0,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure,0.3527336860670194
2000,M,21.0,26.0,Onychomys,torridus,Rodent,Long-term Krat Exclosure,0.9171075837742504
1989,M,17.0,11.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure,0.3880070546737213
1981,M,36.0,50.0,Dipodomys,merriami,Rodent,Control,1.763668430335097
1996,F,27.0,38.0,Chaetodipus,baileyi,Rodent,Spectab exclosure,1.3403880070546736
1980,M,20.0,32.0,Onychomys,leucogaster,Rodent,Spectab exclosure,1.128747795414462
1993,M,35.0,42.0,Dipodomys,merriami,Rodent,Control,1.4814814814814814
2001,M,37.0,59.0,Dipodomys,merriami,Rodent,Control,2.0811287477954146
1984,M,36.0,49.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1.728395061728395
1992,F,24.0,28.0,Sigmodon,ochrognathus,Rodent,Long-term Krat Exclosure,0.9876543209876543
1984,F,,122.0,Dipodomys,spectabilis,Rodent,Control,4.303350970017637
1982,M,36.0,49.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1.728395061728395
1999,M,38.0,53.0,Dipodomys,ordii,Rodent,Control,1.8694885361552027
2000,F,26.0,22.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure,0.7760141093474426
1999,F,25.0,38.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure,1.3403880070546736
1983,F,35.0,42.0,Dipodomys,merriami,Rodent,Control,1.4814814814814814
2002,M,21.0,21.0,Onychomys,leucogaster,Rodent,Spectab exclosure,0.7407407407407407
2001,M,37.0,53.0,Dipodomys,ordii,Rodent,Control,1.8694885361552027
1983,F,34.0,35.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.2345679012345678
1999,F,34.0,39.0,Dipodomys,merriami,Rodent,Control,1.3756613756613756
1982,M,37.0,44.0,Dipodomys,merriami,Rodent,Control,1.5520282186948853
1983,M,16.0,8.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure,0.2821869488536155
1988,M,22.0,36.0,Onychomys,leucogaster,Rodent,Control,1.2698412698412698
1998,M,18.0,8.0,Peromyscus,eremicus,Rodent,Rodent Exclosure,0.2821869488536155
2002,M,33.0,47.0,Dipodomys,merriami,Rodent,Control,1.657848324514991
1983,M,48.0,122.0,Dipodomys,spectabilis,Rodent,Control,4.303350970017637
1996,F,37.0,43.0,Dipodomys,merriami,Rodent,Long-term Krat Exclosure,1.5167548500881833
1984,M,20.0,19.0,Peromyscus,maniculatus,Rodent,Rodent Exclosure,0.6701940035273368
2002,F,38.0,47.0,Dipodomys,ordii,Rodent,Rodent Exclosure,1.657848324514991
1985,M,33.0,40.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.4109347442680775
1977,M,36.0,,Dipodomys,merriami,Rodent,Rodent Exclosure,
1985,M,35.0,42.0,Dipodomys,merriami,Rodent,Control,1.4814814814814814
1990,M,38.0,51.0,Dipodomys,merriami,Rodent,Control,1.7989417989417988
1997,F,37.0,44.0,Dipodomys,merriami,Rodent,Control,1.5520282186948853
1997,M,16.0,8.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure,0.2821869488536155
1980,F,36.0,46.0,Dipodomys,merriami,Rodent,Control,1.6225749559082892
1986,F,36.0,42.0,Dipodomys,merriami,Rodent,Rodent Exclosure,1.4814814814814814
2002,M,22.0,16.0,Chaetodipus,penicillatus,Rodent,Control,0.564373897707231
1977,F,47.0,,Dipodomys,spectabilis,Rodent,Spectab exclosure,
1997,F,25.0,42.0,Chaetodipus,baileyi,Rodent,Spectab exclosure,1.4814814814814814
1978,not reported,,,Onychomys,torridus,Rodent,Long-term Krat Exclosure,
1997,F,15.0,9.0,Perognathus,flavus,Rodent,Short-term Krat Exclosure,0.31746031746031744
1989,F,17.0,10.0,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure,0.3527336860670194
1982,M,16.0,10.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure,0.3527336860670194
1980,F,,59.0,Dipodomys,merriami,Rodent,Control,2.0811287477954146
1987,M,36.0,48.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1.693121693121693
1987,M,35.0,38.0,Dipodomys,merriami,Rodent,Control,1.3403880070546736
1985,M,36.0,39.0,Dipodomys,merriami,Rodent,Control,1.3756613756613756
1998,M,26.0,24.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure,0.8465608465608465
1985,F,20.0,20.0,Onychomys,torridus,Rodent,Short-term Krat Exclosure,0.7054673721340388
2002,M,23.0,12.0,Chaetodipus,penicillatus,Rodent,Spectab exclosure,0.42328042328042326
1990,M,36.0,42.0,Dipodomys,ordii,Rodent,Control,1.4814814814814814
1982,F,20.0,21.0,Peromyscus,eremicus,Rodent,Rodent Exclosure,0.7407407407407407
1979,F,50.0,124.0,Dipodomys,spectabilis,Rodent,Rodent Exclosure,4.37389770723104
1989,F,15.0,8.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure,0.2821869488536155
1997,M,35.0,54.0,Dipodomys,ordii,Rodent,Spectab exclosure,1.9047619047619047
1997,not reported,,,Spermophilus,spilosoma,Rodent,Spectab exclosure,
1985,M,36.0,39.0,Dipodomys,merriami,Rodent,Rodent Exclosure,1.3756613756613756
1980,M,35.0,50.0,Dipodomys,merriami,Rodent,Control,1.763668430335097
1997,M,22.0,23.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure,0.8112874779541446
1983,F,37.0,41.0,Dipodomys,merriami,Rodent,Control,1.4462081128747795
1993,not reported,,,Amphispiza,bilineata,Bird,Control,
1983,F,37.0,39.0,Dipodomys,merriami,Rodent,Control,1.3756613756613756
1992,F,25.0,39.0,Sigmodon,ochrognathus,Rodent,Long-term Krat Exclosure,1.3756613756613756
2002,F,36.0,65.0,Dipodomys,ordii,Rodent,Short-term Krat Exclosure,2.292768959435626
2002,F,35.0,44.0,Dipodomys,ordii,Rodent,Spectab exclosure,1.5520282186948853
1984,M,34.0,46.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1.6225749559082892
1982,M,,8.0,Perognathus,flavus,Rodent,Control,0.2821869488536155
1984,M,35.0,224.0,Neotoma,albigula,Rodent,Long-term Krat Exclosure,7.901234567901234
1996,M,37.0,51.0,Dipodomys,merriami,Rodent,Control,1.7989417989417988
2000,M,26.0,23.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure,0.8112874779541446
1978,F,37.0,37.0,Dipodomys,merriami,Rodent,Control,1.3051146384479717
1999,not reported,,194.0,Neotoma,albigula,Rodent,Control,6.843033509700176
1989,M,32.0,67.0,Sigmodon,hispidus,Rodent,Long-term Krat Exclosure,2.36331569664903
2002,F,23.0,17.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure,0.599647266313933
1995,not reported,,,Pipilo,chlorurus,Bird,Long-term Krat Exclosure,
